seq,HOTA,MOTA,IDF1,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,CLR_Re,CLR_Pr,CLR_FN,CLR_FP,IDSW,MT,ML,Frag,CLR_Frames
MOT17-01-DPM,0.233753,0.237674,0.286556,0.184755,0.296478,0.189686,0.721813,0.351299,0.600492,0.780882,0.251163,0.955752,4830,75,12,3,15,18.000,450
MOT17-01-FRCNN,0.390434,0.312403,0.482777,0.344114,0.445253,0.413913,0.590128,0.504355,0.719953,0.792682,0.508217,0.724580,3172,1246,17,6,9,38.000,450
MOT17-01-SDP,0.392292,0.445736,0.495847,0.391370,0.397045,0.454239,0.633342,0.449690,0.704077,0.789261,0.584651,0.815175,2679,855,41,7,5,73.000,450
MOT17-03-DPM,0.349054,0.423052,0.471833,0.340815,0.358946,0.356433,0.750288,0.380767,0.746478,0.800906,0.449955,0.947151,57576,2628,188,16,44,369.000,1500
MOT17-03-FRCNN,0.446047,0.579145,0.577431,0.455896,0.440188,0.476409,0.782368,0.478480,0.726975,0.810675,0.594755,0.976718,42419,1484,150,36,27,323.000,1500
MOT17-03-SDP,0.527646,0.740244,0.668594,0.579657,0.482554,0.607507,0.794062,0.529805,0.711137,0.816894,0.753704,0.985153,25781,1189,220,71,15,522.000,1500
MOT17-06-DPM,0.348558,0.360659,0.453970,0.288263,0.425234,0.301939,0.716483,0.524436,0.623549,0.781631,0.392990,0.932541,7153,335,46,13,136,71.000,1194
MOT17-06-FRCNN,0.449752,0.524016,0.581430,0.441772,0.460086,0.473751,0.741688,0.589210,0.610336,0.802649,0.583673,0.913777,4906,649,54,44,79,132.000,1194
MOT17-06-SDP,0.441641,0.558469,0.587181,0.456150,0.429651,0.496074,0.714114,0.602048,0.563344,0.791043,0.629158,0.905693,4370,772,61,64,72,127.000,1194
MOT17-07-DPM,0.294478,0.287397,0.386215,0.242444,0.359652,0.252478,0.717548,0.379932,0.707238,0.786532,0.320606,0.911171,11477,528,33,4,37,89.000,500
MOT17-07-FRCNN,0.316879,0.346771,0.394867,0.315272,0.327581,0.340889,0.682950,0.360078,0.658817,0.781735,0.426567,0.854602,9687,1226,122,5,17,239.000,500
MOT17-07-SDP,0.382573,0.476647,0.492549,0.389833,0.377346,0.418379,0.730208,0.412342,0.688414,0.803187,0.526964,0.919723,7991,777,73,14,18,146.000,500
MOT17-08-DPM,0.253337,0.207205,0.285629,0.197007,0.326494,0.204788,0.745982,0.356607,0.691334,0.823701,0.242142,0.882049,16009,684,54,5,42,73.000,625
MOT17-08-FRCNN,0.277808,0.225289,0.301873,0.205347,0.377731,0.214408,0.741755,0.446122,0.668405,0.826158,0.258521,0.894366,15663,645,57,6,41,88.000,625
MOT17-08-SDP,0.307741,0.293552,0.348664,0.252517,0.378380,0.261429,0.778025,0.408398,0.708396,0.823981,0.317222,0.944069,14423,397,103,9,35,136.000,625
MOT17-12-DPM,0.358118,0.354909,0.447930,0.301974,0.425341,0.317186,0.742786,0.493354,0.656218,0.809165,0.391716,0.917320,5272,306,13,8,53,23.000,900
MOT17-12-FRCNN,0.396219,0.367370,0.493384,0.323334,0.487704,0.346244,0.730856,0.544539,0.708817,0.817547,0.421830,0.890404,5011,450,22,11,48,36.000,900
MOT17-12-SDP,0.447985,0.426561,0.582005,0.371023,0.542425,0.402039,0.732186,0.591727,0.776430,0.825212,0.489212,0.890943,4427,519,24,16,43,38.000,900
MOT17-14-DPM,0.184010,0.144024,0.224067,0.114599,0.296745,0.116075,0.755164,0.310009,0.748217,0.793522,0.149489,0.972545,15720,78,23,3,132,41.000,750
MOT17-14-FRCNN,0.279867,0.209057,0.361232,0.250180,0.321365,0.277202,0.591426,0.356148,0.620736,0.750180,0.345344,0.736812,12100,2280,239,8,79,357.000,750
MOT17-14-SDP,0.325955,0.345615,0.440640,0.307739,0.349343,0.337291,0.652245,0.381799,0.671905,0.773867,0.435157,0.841494,10440,1515,140,8,64,227.000,750
COMBINED,0.399766,0.465755,0.509896,0.380461,0.422971,0.401938,0.751539,0.468669,0.708369,0.805927,0.501787,0.938236,281106,18638,1692,357,1011,3166.000,17757
