epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.6,1.23263,0.94759,1.07863,0.9019,0.78011,0.83148,0.59864,1.1173,0.6013,1.06483,0.000207888,0.000207888,0.000207888
2,308.501,1.10388,0.63414,1.01549,0.92376,0.803,0.86682,0.61982,1.08811,0.58741,1.04657,0.000375016,0.000375016,0.000375016
3,451.085,1.06509,0.60068,1.00678,0.94469,0.81622,0.90045,0.65761,1.04407,0.55879,1.04309,0.000500893,0.000500893,0.000500893
4,594.297,1.02131,0.55925,0.98786,0.9202,0.90302,0.94178,0.69792,0.99902,0.51373,1.01686,0.000439375,0.000439375,0.000439375
5,733.311,0.95609,0.51888,0.96712,0.93526,0.90883,0.93644,0.71298,0.94583,0.51314,1.00252,0.0003775,0.0003775,0.0003775
6,870.412,0.92061,0.49173,0.95046,0.96029,0.91554,0.95399,0.74138,0.92367,0.47776,1.00034,0.000315625,0.000315625,0.000315625
7,1007.92,0.87714,0.46628,0.93303,0.96018,0.91598,0.95483,0.74233,0.88918,0.45835,0.99256,0.00025375,0.00025375,0.00025375
8,1144.83,0.83129,0.44376,0.92437,0.95969,0.93756,0.96319,0.76877,0.84499,0.43031,0.97267,0.000191875,0.000191875,0.000191875
9,1281.72,0.80033,0.42233,0.90487,0.95228,0.94114,0.96681,0.78607,0.80683,0.41091,0.96566,0.00013,0.00013,0.00013
10,1418.68,0.75342,0.39947,0.89198,0.97197,0.94136,0.96952,0.79649,0.77756,0.39077,0.9609,6.8125e-05,6.8125e-05,6.8125e-05
