epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.68,1.23374,0.95139,1.07683,0.91016,0.76067,0.8365,0.60441,1.10332,0.63709,1.05364,0.000207888,0.000207888,0.000207888
2,334.111,1.11202,0.63814,1.01797,0.91078,0.80507,0.86834,0.64716,1.06334,0.57879,1.04729,0.000375016,0.000375016,0.000375016
3,494.883,1.05773,0.58992,1.00431,0.89593,0.91074,0.93893,0.68089,1.01389,0.53895,1.03296,0.000500893,0.000500893,0.000500893
4,658.488,1.01252,0.55545,0.98285,0.94412,0.90453,0.94267,0.68428,0.99773,0.54215,1.02795,0.000439375,0.000439375,0.000439375
5,817.835,0.95902,0.5215,0.96694,0.93979,0.91456,0.94906,0.73025,0.93525,0.48839,1.00334,0.0003775,0.0003775,0.0003775
6,977.772,0.92358,0.4919,0.94922,0.94234,0.91022,0.94664,0.73043,0.90326,0.4622,0.98215,0.000315625,0.000315625,0.000315625
7,1138.15,0.8742,0.46199,0.9316,0.95714,0.9263,0.95722,0.75901,0.87261,0.45548,0.97822,0.00025375,0.00025375,0.00025375
8,1292.93,0.83112,0.44128,0.92317,0.95825,0.93528,0.96202,0.766,0.84244,0.43034,0.96679,0.000191875,0.000191875,0.000191875
9,1451.95,0.80303,0.4225,0.90627,0.96448,0.935,0.96642,0.79002,0.8104,0.41082,0.96248,0.00013,0.00013,0.00013
10,1596.25,0.7517,0.39836,0.89083,0.9586,0.94154,0.9661,0.79346,0.77322,0.39071,0.95318,6.8125e-05,6.8125e-05,6.8125e-05
